mpg,car name,cylinders,displacement,horsepower,weight,acceleration,model year,origin
18.0,chevrolet chevelle malibu,8,307.0,130,3504,12.0,70,1
15.0,buick skylark 320,8,350.0,165,3693,11.5,70,1
18.0,plymouth satellite,8,318.0,150,3436,11.0,70,1
16.0,amc rebel sst,8,304.0,150,3433,12.0,70,1
17.0,ford torino,8,302.0,140,3449,10.5,70,1
15.0,ford galaxie 500,8,429.0,198,4341,10.0,70,1
14.0,chevrolet impala,8,454.0,220,4354,9.0,70,1
14.0,plymouth fury iii,8,440.0,215,4312,8.5,70,1
14.0,pontiac catalina,8,455.0,225,4425,10.0,70,1
15.0,amc ambassador dpl,8,390.0,190,3850,8.5,70,1
15.0,dodge challenger se,8,383.0,170,3563,10.0,70,1
14.0,plymouth 'cuda 340,8,340.0,160,3609,8.0,70,1
15.0,chevrolet monte carlo,8,400.0,150,3761,9.5,70,1
14.0,buick estate wagon (sw),8,455.0,225,3086,10.0,70,1
24.0,toyota corona mark ii,4,113.0,95,2372,15.0,70,3
22.0,plymouth duster,6,198.0,95,2833,15.5,70,1
18.0,amc hornet,6,199.0,97,2774,15.5,70,1
21.0,ford maverick,6,200.0,85,2587,16.0,70,1
27.0,datsun pl510,4,97.0,88,2130,14.5,70,3
26.0,volkswagen 1131 deluxe sedan,4,97.0,46,1835,20.5,70,2
25.0,peugeot 504,4,110.0,87,2672,17.5,70,2
24.0,audi 100 ls,4,107.0,90,2430,14.5,70,2
25.0,saab 99e,4,104.0,95,2375,17.5,70,2
26.0,bmw 2002,4,121.0,113,2234,12.5,70,2
21.0,amc gremlin,6,199.0,90,2648,15.0,70,1
10.0,ford f250,8,360.0,215,4615,14.0,70,1
10.0,chevy c20,8,307.0,200,4376,15.0,70,1
11.0,dodge d200,8,318.0,210,4382,13.5,70,1
9.0,hi 1200d,8,304.0,193,4732,18.5,70,1
27.0,datsun pl510,4,97.0,88,2130,14.5,71,3
28.0,chevrolet vega 2300,4,140.0,90,2264,15.5,71,1
25.0,toyota corona,4,113.0,95,2228,14.0,71,3
25.0,ford pinto,4,98.0,,2046,19.0,71,1
19.0,amc gremlin,6,232.0,100,2634,13.0,71,1
16.0,plymouth satellite custom,6,225.0,105,3439,15.5,71,1
17.0,chevrolet chevelle malibu,6,250.0,100,3329,15.5,71,1
19.0,ford torino 500,6,250.0,88,3302,15.5,71,1
18.0,amc matador,6,232.0,100,3288,15.5,71,1
14.0,chevrolet impala,8,350.0,165,4209,12.0,71,1
14.0,pontiac catalina brougham,8,400.0,175,4464,11.5,71,1
14.0,ford galaxie 500,8,351.0,153,4154,13.5,71,1
14.0,plymouth fury iii,8,318.0,150,4096,13.0,71,1
12.0,dodge monaco (sw),8,383.0,180,4955,11.5,71,1
13.0,ford country squire (sw),8,400.0,170,4746,12.0,71,1
13.0,pontiac safari (sw),8,400.0,175,5140,12.0,71,1
18.0,amc hornet sportabout (sw),6,258.0,110,2962,13.5,71,1
22.0,chevrolet vega (sw),4,140.0,72,2408,19.0,71,1
19.0,pontiac firebird,6,250.0,100,3282,15.0,71,1
18.0,ford mustang,6,250.0,88,3139,14.5,71,1
23.0,mercury capri 2000,4,122.0,86,2220,14.0,71,1
28.0,opel 1900,4,116.0,90,2123,14.0,71,2
30.0,peugeot 304,4,79.0,70,2074,19.5,71,2
30.0,fiat 124b,4,88.0,76,2065,14.5,71,2
31.0,toyota corolla 1200,4,71.0,65,1773,19.0,71,3
35.0,datsun 1200,4,72.0,69,1613,18.0,71,3
27.0,volkswagen model 111,4,97.0,60,1834,19.0,71,2
26.0,plymouth cricket,4,91.0,70,1955,20.5,71,1
24.0,toyota corona hardtop,4,113.0,95,2278,15.5,72,3
25.0,dodge colt hardtop,4,97.5,80,2126,17.0,72,1
23.0,volkswagen type 3,4,97.0,54,2254,23.5,72,2
20.0,chevrolet vega,4,140.0,90,2408,19.5,72,1
21.0,ford pinto runabout,4,122.0,86,2226,16.5,72,1
13.0,chevrolet impala,8,350.0,165,4274,12.0,72,1
14.0,pontiac catalina,8,400.0,175,4385,12.0,72,1
15.0,plymouth fury iii,8,318.0,150,4135,13.5,72,1
14.0,ford galaxie 500,8,351.0,153,4129,13.0,72,1
17.0,amc ambassador sst,8,304.0,150,3672,11.5,72,1
11.0,mercury marquis,8,429.0,208,4633,11.0,72,1
13.0,buick lesabre custom,8,350.0,155,4502,13.5,72,1
12.0,oldsmobile delta 88 royale,8,350.0,160,4456,13.5,72,1
13.0,chrysler newport royal,8,400.0,190,4422,12.5,72,1
19.0,mazda rx2 coupe,3,70.0,97,2330,13.5,72,3
15.0,amc matador (sw),8,304.0,150,3892,12.5,72,1
13.0,chevrolet chevelle concours (sw),8,307.0,130,4098,14.0,72,1
13.0,ford gran torino (sw),8,302.0,140,4294,16.0,72,1
14.0,plymouth satellite custom (sw),8,318.0,150,4077,14.0,72,1
18.0,volvo 145e (sw),4,121.0,112,2933,14.5,72,2
22.0,volkswagen 411 (sw),4,121.0,76,2511,18.0,72,2
21.0,peugeot 504 (sw),4,120.0,87,2979,19.5,72,2
26.0,renault 12 (sw),4,96.0,69,2189,18.0,72,2
22.0,ford pinto (sw),4,122.0,86,2395,16.0,72,1
28.0,datsun 510 (sw),4,97.0,92,2288,17.0,72,3
23.0,toyouta corona mark ii (sw),4,120.0,97,2506,14.5,72,3
28.0,dodge colt (sw),4,98.0,80,2164,15.0,72,1
27.0,toyota corolla 1600 (sw),4,97.0,88,2100,16.5,72,3
13.0,buick century 350,8,350.0,175,4100,13.0,73,1
14.0,amc matador,8,304.0,150,3672,11.5,73,1
13.0,chevrolet malibu,8,350.0,145,3988,13.0,73,1
14.0,ford gran torino,8,302.0,137,4042,14.5,73,1
15.0,dodge coronet custom,8,318.0,150,3777,12.5,73,1
12.0,mercury marquis brougham,8,429.0,198,4952,11.5,73,1
